Date,NAV
06/20/2019,$150.57
06/21/2019,$150.23
06/24/2019,$149.76
06/25/2019,$148.36
06/26/2019,$148.15
06/27/2019,$149.03
06/28/2019,$150.04
07/01/2019,$151.13
07/02/2019,$151.45
07/03/2019,$152.67
07/05/2019,$152.49
07/08/2019,$151.67
07/09/2019,$151.96
07/10/2019,$152.57
07/11/2019,$152.82
07/12/2019,$153.60
07/15/2019,$153.56
07/16/2019,$153.09
07/17/2019,$152.13
07/18/2019,$152.67
07/19/2019,$151.76
07/22/2019,$152.12
07/23/2019,$153.16
07/24/2019,$154.11
07/25/2019,$153.18
07/26/2019,$154.37
07/29/2019,$154.00
07/30/2019,$153.82
07/31/2019,$152.21
08/01/2019,$150.73
08/02/2019,$149.53
08/05/2019,$145.08
08/06/2019,$146.96
08/07/2019,$147.11
08/08/2019,$149.96
08/09/2019,$148.89
08/12/2019,$147.07
08/13/2019,$149.14
08/14/2019,$144.84
08/15/2019,$145.13
08/16/2019,$147.35
08/19/2019,$149.05
08/20/2019,$147.93
08/21/2019,$149.16
08/22/2019,$149.07
08/23/2019,$145.21
08/26/2019,$146.76
08/27/2019,$146.13
08/28/2019,$147.11
08/29/2019,$149.04
08/30/2019,$149.14
09/03/2019,$148.00
09/04/2019,$149.59
09/05/2019,$151.59
09/06/2019,$151.65
09/09/2019,$151.71
09/10/2019,$151.87
09/11/2019,$153.15
09/12/2019,$153.55
09/13/2019,$153.47
09/16/2019,$152.50
09/17/2019,$152.84
09/18/2019,$152.77
09/19/2019,$152.74
09/20/2019,$152.07
09/23/2019,$152.05
09/24/2019,$150.63
09/25/2019,$151.62
09/26/2019,$151.14
09/27/2019,$150.25
09/30/2019,$150.99
10/01/2019,$149.03
10/02/2019,$146.52
10/03/2019,$147.72
10/04/2019,$149.73
10/07/2019,$149.11
10/08/2019,$146.73
10/09/2019,$148.07
10/10/2019,$148.94
10/11/2019,$150.70
10/14/2019,$150.45
10/15/2019,$151.94
10/16/2019,$151.60
10/17/2019,$152.16
10/18/2019,$151.55
10/21/2019,$152.60
10/22/2019,$152.06
10/23/2019,$152.46
10/24/2019,$152.82
10/25/2019,$153.49
10/28/2019,$154.36
10/29/2019,$154.36
10/30/2019,$154.74
10/31/2019,$154.18
11/01/2019,$155.79
11/04/2019,$156.36
11/05/2019,$156.19
11/06/2019,$156.18
11/07/2019,$156.66
11/08/2019,$157.13
11/11/2019,$156.87
11/12/2019,$157.10
11/13/2019,$157.17
11/14/2019,$157.36
11/15/2019,$158.56
11/18/2019,$158.62
11/19/2019,$158.64
11/20/2019,$158.15
11/21/2019,$157.82
11/22/2019,$158.18
11/25/2019,$159.58
11/26/2019,$159.97
11/27/2019,$160.68
11/29/2019,$160.01
12/02/2019,$158.57
12/03/2019,$157.62
12/04/2019,$158.59
12/05/2019,$158.82
12/06/2019,$160.26
12/09/2019,$159.76
12/10/2019,$159.60
12/11/2019,$160.00
12/12/2019,$161.32
12/13/2019,$161.30
12/16/2019,$162.47
12/17/2019,$162.58
12/18/2019,$162.58
12/19/2019,$163.33
12/20/2019,$164.14
12/23/2019,$164.27
12/24/2019,$163.41
12/26/2019,$164.17
12/27/2019,$164.09
12/30/2019,$163.21
12/31/2019,$163.70
